Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Aditya Birla Sl Bal Bhavishya Yojna Reg(G),Chanchal Khandelwal,Hy Sol,1087.2,2.15,Open Ended,11-02-2019,Nifty 500 Tri,-0.1,-6.77,-0.05,14.7,19.26,12.6,12.69,,55.89,11.69,30.7,Financials,4.89,0.72,1.01,2.23,15.85,6.68,13.33,0.15,Large,6.84,High,0.79,FALSE,0.86,0,1,0,0,1,-2.31,12.64
Aditya Birla Sl Balanced Advantage Fund(G),Harish Krishnan,Hy Dyn,7400.2,1.8,Open Ended,25-04-2000,Crisil Hybrid 50+50 Moderate Index,-0.53,-4.05,1.68,13.1,15.08,11.42,12.44,10.5,51.92,11.13,3.84,Financials,5.17,1.12,1.66,1.23,7.84,25.49,11.86,0.14,Mega,7.28,Medium,1.46,FALSE,1.39,0,0,0,0,1,-0.97,11.45
Aditya Birla Sl Banking & Financial Services Fund Reg(G),Dhaval Gala,Eq Fin,3269.7,1.99,Open Ended,14-12-2013,Nifty Financial Services Tri,-1.97,-6.47,-2.88,9.31,15.98,14.66,12.03,12.76,65.94,11.52,19.26,Financials,1.23,0.39,0.56,1.03,16.42,11.85,12.19,0.21,Mega,4.68,High,0.89,FALSE,0.48,0,1,0,0,0,-3.77,13.15
Aditya Birla Sl Banking & Psu Debt(G),Kaustubh Gupta,Dt B&Psu,9482.9,0.73,Open Ended,05-05-2008,Nifty Banking And Psu Debt Index,0.55,1.45,3.97,7.84,7.33,6.1,6.51,7.54,,,, ,2.65,5.12,9.72,0.37,0.73,17.46,7,0.09,Mega,10.74,Low,8.36,TRUE,7.42,0,0,0,0,1,1.99,6.72
Aditya Birla Sl Bse India Infrastructure Index Fund Reg(G),Priya Sridhar,Eq Infra,,,Open Ended,04-12-2024,Bse India Infrastructure Index Tri,,,,,,,,,,,, ,,,,,,0.87,,,,,,,FALSE,,0,0,0,1,0,,
Aditya Birla Sl Bse Sensex Etf,Priya Sridhar,Eq Etf,331.9,0.08,Open Ended,18-07-2016,Bse Sensex Tri,-1.64,-6.69,-0.82,9.8,15.66,12.43,15.19,,99.14,0.72,,Financials,1.39,0.46,0.71,1,13.89,9.25,12.47,0.01,Mid,122.5,Medium,0.89,FALSE,0.58,0,1,0,0,1,-3.05,13.81
Aditya Birla Sl Business Cycle Fund Reg(G),Harish Krishnan,Eq Them,1823.2,2.1,Open Ended,03-12-2021,Bse 500 Tri,0.2,-5.91,1.56,19.19,19.15,14.25,,,55.93,17.75,23.6,Financials,10.21,1.07,1.6,0.92,13.92,3.87,16.72,0.11,Large,9.14,Medium,1.02,TRUE,1.34,0,1,1,1,1,-1.38,14.25
Aditya Birla Sl Conglomerate Fund Reg(G),Harish Krishnan,Eq Them,,,Open Ended,27-12-2024,Bse Select Business Groups Index Tri,,,,,,,,,,,, ,,,,,,0.8,,,,,,,FALSE,,0,0,0,1,0,,
Aditya Birla Sl Corp Bond Fund(G),Kaustubh Gupta,Dt Corp,24978.5,0.52,Open Ended,03-03-1997,Nifty Corporate Bond Index,0.53,1.5,4.27,8.53,7.86,6.6,7.09,7.77,,,, ,2.97,4.9,9.41,0.47,0.89,28.64,7.5,0.06,Mega,16.4,Low,7.42,TRUE,7.16,0,0,0,0,1,2.1,7.15
Aditya Birla Sl Credit Risk Fund Reg(G),Sunaina Da Cunha,Dt Cr,917.8,1.54,Open Ended,22-04-2015,Crisil Credit Risk Debt Index,0.47,4.19,7.18,11.98,9.43,8.65,8.32,,,,, ,6.48,2.63,15.65,0.4,2.91,10.49,9.65,0.13,Large,7.78,Low,2.97,TRUE,9.14,0,0,0,0,1,3.95,8.48
Aditya Birla Sl Crisil 10 Year Gilt Etf,Bhupesh Bameta,Dt Etf,17.8,0.1,Open Ended,13-08-2024,Crisil 10 Yr Gilt Index,0.32,1.05,,,,,,,,,, ,,,,,,1.18,,,Small,,,,FALSE,,0,0,0,1,0,0.68,
Aditya Birla Sl Crisil Broad Based Gilt Etf,Kaustubh Gupta,Dt Etf,43.6,0.19,Open Ended,05-07-2024,Crisil Broad Based Gilt Index,0.39,0.77,,,,,,,,,, ,,,,,,1.28,,,Small,,,,FALSE,,0,0,0,1,0,0.58,
Aditya Birla Sl Crisil Ibx 50 - 50 Gilt Plus Sdl Apr 2028 Index Fund Reg(G),Mohit Sharma,Dt M&Ld,397.8,0.35,Open Ended,13-10-2022,Crisil Ibx 50 - 50 Gilt Plus Sdl Index April 2028,0.5,1.4,4.08,8.09,7.9,,,,,,, ,2.72,4.47,9.85,0.4,0.87,3.01,8.09,0.04,Mid,23.11,Low,,TRUE,7.16,0,0,0,1,1,1.99,
Aditya Birla Sl Crisil Ibx 60 - 40 Sdl + Aaa Psu Apr 2025 Index Fund Reg(G),Mohit Sharma,Dt Md,168.1,0.35,Open Ended,30-03-2022,Crisil Ibx 60 - 40 Sdl + Aaa Psu Index April 2025,0.57,1.63,3.48,7.29,7.1,,,,,,, ,3.05,9.83,19.98,0.05,0.33,3.55,7.29,0.05,Mid,20.83,Low,,TRUE,14.9,0,0,0,1,1,1.89,
Aditya Birla Sl Crisil Ibx 60 - 40 Sdl + Aaa Psu Apr 2027 Index Fund Reg(G),Mohit Sharma,Dt M&Ld,1685.1,0.4,Open Ended,29-03-2022,Crisil Ibx 60 - 40 Sdl + Aaa Psu Index April 2027,0.55,1.56,3.79,7.79,7.3,,,,,,, ,2.97,6.56,14.95,0.23,0.55,3.55,7.79,0.05,Large,19.47,Low,,TRUE,10.76,0,0,0,1,1,1.97,
Aditya Birla Sl Crisil Ibx 60 - 40 Sdl + Aaa Psu Apr 2026 Index Fund Reg(G),Bhupesh Bameta,Dt B&Psu,52.8,0.45,Open Ended,02-12-2022,Crisil Ibx 60 - 40 Sdl + Aaa Psu Index April 2026,0.56,1.6,3.63,7.41,7.11,,,,,,, ,2.85,7,15.83,0.16,0.47,2.87,7.41,0.06,Small,16.47,Low,,TRUE,11.42,0,0,0,1,1,1.93,
Aditya Birla Sl Crisil Ibx Gilt April 2026 Index Fund Reg(G),Bhupesh Bameta,Dt Md,294.3,0.36,Open Ended,07-10-2022,Crisil Ibx Gilt Index April 2026,0.56,1.49,3.59,7.22,7.13,,,,,,, ,2.57,5.79,13.38,0.19,0.54,3.03,7.22,0.05,Mid,20.06,Low,,TRUE,9.59,0,0,0,1,1,1.88,
Aditya Birla Sl Crisil Ibx Gilt Apr 2028 Index Fund Reg(G),Bhupesh Bameta,Dt M&Ld,29.2,0.79,Open Ended,15-03-2023,Crisil Ibx Gilt Index April 2028,0.53,1.28,3.73,7.38,,,,,,,, ,2.02,3.68,7.79,0.41,0.88,2.59,7.38,0.11,Small,9.34,Low,,TRUE,5.74,0,0,0,1,1,1.85,
Aditya Birla Sl Crisil Ibx Gilt Apr 2029 Index Fund Reg(G),Harshil Suvarnkar,Dt Gilt,695.2,0.37,Open Ended,19-10-2022,Crisil Ibx Gilt Index April 2029,0.43,1.27,4.3,8.37,8.17,,,,,,, ,2.39,3.28,5.97,0.61,1.28,2.99,8.37,0.04,Large,22.62,Low,,TRUE,4.62,0,0,0,1,1,2,
Aditya Birla Sl Crisil Ibx Gilt April 2033 Index Fund Reg(G),Bhupesh Bameta,Dt Ld,87.2,0.47,Open Ended,22-12-2023,Crisil Ibx Gilt Index April 2033,0.45,0.99,4.69,9.22,,,,,,,, ,1.94,2.71,4.96,0.99,1.8,1.82,9.22,0.05,Small,19.62,Low,,TRUE,3.84,0,0,0,1,1,2.04,
Aditya Birla Sl Crisil Ibx Gilt June 2027 Index Fund Reg(G),Bhupesh Bameta,Dt Gilt,13,0.5,Open Ended,05-06-2024,Crisil Ibx Gilt Index June 2027,0.5,1.42,3.8,,,,,,,,, ,,,,,,1.36,,,Small,,,,FALSE,,0,0,0,1,0,1.91,
Aditya Birla Sl Crisil Ibx Sdl Jun 2032 Index Fund Reg(G),Bhupesh Bameta,Dt Ld,160,0.57,Open Ended,14-02-2023,Crisil Ibx Sdl Index June 2032,0.65,1.46,4.6,9.8,,,,,,,, ,3.12,3.04,6.2,0.76,1.77,2.67,9.8,0.06,Mid,17.19,Low,,TRUE,4.62,0,0,0,1,1,2.24,
Aditya Birla Sl Crisil Liquid Overnight Etf,Sanjay Pawar,Dt On,61.9,0.43,Open Ended,13-03-2023,Crisil Liquid Overnight Index,0.51,1.51,3.02,6.29,,,,,,,, ,0.93,6.72,8.75,,0.14,2.6,6.29,0.07,Small,14.63,Low,,FALSE,7.74,0,0,0,1,1,1.68,
Aditya Birla Sl Crisil Ibx Aaa Financial Services Index Sep 2027 Fund Reg(G),Harshil Suvarnkar,Dt M&Ld,100.9,,Open Ended,13-11-2024,Crisil Ibx Aaa Financial Services Index Sep 2027,0.6,,,,,,,,,,, ,,,,,,0.92,,,Mid,,,,FALSE,,0,0,0,1,0,0.6,
Aditya Birla Sl Crisil Ibx Aaa Nbfc Hfc Index Dec 2025 Fund Reg(G),Sanjay Godambe,Dt Sd,372.4,,Open Ended,15-10-2024,Crisil Ibx Aaa Nbfc Hfc Index Dec 2025,0.63,,,,,,,,,,, ,,,,,,1,,,Mid,,,,FALSE,,0,0,0,1,0,0.63,
Aditya Birla Sl Crisil Ibx Aaa Nbfc Hfc Index Sep 2026 Fund Reg(G),Harshil Suvarnkar,Dt Sd,274.9,,Open Ended,08-10-2024,Crisil Ibx Aaa Nbfc Hfc Index Sep 2026,0.66,,,,,,,,,,, ,,,,,,1.02,,,Mid,,,,FALSE,,0,0,0,1,0,0.66,
Aditya Birla Sl Crisil Ibx Financial Services 3 To 6 Months Debt Index Fund Reg(G),Harshil Suvarnkar,Dt Usd,1118.5,,Open Ended,17-12-2024,Crisil Ibx Financial Services 3 To 6 Months Debt Index,,,,,,,,,,,, ,,,,,,0.83,,,Large,,,,FALSE,,0,0,0,1,0,,
Aditya Birla Sl Digital India Fund(G),Kunal Sangoi,Eq Tech,5332.7,1.87,Open Ended,15-01-2000,Bse Teck Index Tri,0.03,-0.05,12.91,18.32,26.67,7.98,27.7,18.88,64.97,7.44,20.23,Technology,10.68,0.9,1.69,0.73,16.04,25.77,18.22,0.1,Mega,9.8,High,0.5,TRUE,1.3,0,1,1,0,1,4.3,18.19
Aditya Birla Sl Dividend Yield Fund(G),Dhaval Gala,Eq Div,1536.5,2.21,Open Ended,10-02-2003,Nifty 500 Tri,-1.52,-8.76,0.55,18.18,28.94,20.52,22.45,12.14,55.76,10.69,24.65,Technology,9.83,0.88,1.27,0.98,16.7,22.7,18.32,0.12,Large,8.23,High,1.23,TRUE,1.08,0,1,1,0,1,-3.24,18.37
Aditya Birla Sl Dynamic Bond Fund Reg(G),Mohit Sharma,Dt Dyn,1716.9,1.23,Open Ended,27-09-2004,Nifty Composite Debt Index,0.45,0.6,4.27,8.8,7.76,7.16,7.19,6.4,,,, ,1.18,2.14,3.62,1.13,2.11,21.07,7.39,0.14,Large,7.15,Low,3.39,FALSE,2.88,0,0,0,0,1,1.77,6.92
Aditya Birla Sl Elss Tax Saver Fund(G),Dhaval Shah,Eq Elss,15745.8,1.68,Open Ended,10-03-2008,Nifty 500 Tri,-1.67,-8.66,-2.08,16.11,18.22,11.41,12.22,11.03,64.01,17.53,15.24,Financials,7.71,0.89,1.3,0.92,13.83,17.61,12.69,0.1,Mega,9.59,Medium,0.83,TRUE,1.1,0,1,0,0,1,-4.14,11.55
Aditya Birla Sl Equity Advantage Fund(G),Vishal Gajwani,Eq L&M,5869.5,1.9,Open Ended,24-02-1995,Nifty Largemidcap 250 Tri,0.23,-6.92,-0.62,16.09,22.12,9.17,16.01,12.3,45.23,36.14,17.16,Financials,7.51,0.79,1.12,0.97,15.67,30.66,13.39,0.12,Mega,8.47,High,0.59,TRUE,0.96,0,1,0,0,1,-2.44,12.49
Aditya Birla Sl Equity Hybrid 95 Fund(G),Chanchal Khandelwal,Hy Eq,7684.2,1.85,Open Ended,10-02-1995,Crisil Hybrid 35+65 Aggressive Index,-0.72,-4.98,0.65,15.6,18.88,11.68,13.88,10.37,55.66,9.09,11.79,Financials,5.95,1.06,1.59,1.79,10.52,30.7,12.88,0.12,Mega,8.43,Medium,1.11,FALSE,1.33,0,1,0,0,1,-1.68,11.98
Aditya Birla Sl Equity Savings Fund Reg(G),Lovelish Solanki,Hy Eq,624.3,1.12,Open Ended,28-11-2014,Nifty 50 Equity Savings Index Tri,0.38,-0.1,2.84,8.31,9.93,6.26,8.42,7.57,48.73,16.8,3.32,Financials,2.7,1.5,2.45,0.46,2.68,10.89,7.64,0.13,Large,7.42,Low,2.34,TRUE,1.98,0,0,0,0,1,1.04,7.42
Aditya Birla Sl Esg Integration Strategy Fund Reg(G),Chanchal Khandelwal,Eq Them,686.8,2.41,Open Ended,24-12-2020,Nifty100 Esg Tri,-0.11,-5.57,5.7,22.15,23.04,9.46,,,67.07,21.51,9.87,Financials,12.78,1.29,2.12,0.85,13.25,4.81,15.8,0.11,Large,9.19,Medium,0.71,TRUE,1.7,0,1,1,1,1,0.01,9.46
Aditya Birla Sl Financial Planning Fof Aggressive Plan(G),Vinod Narayan Bhat,Fof Dom,216,1.19,Open Ended,09-05-2011,Crisil Hybrid 35+65 Aggressive Index,-0.26,-5.27,1.11,16.89,20.7,14.75,16.85,12.37,,,, ,7.79,1.09,1.58,1.79,11.99,14.45,15.22,0.07,Mid,14.19,Medium,1.23,FALSE,1.34,0,1,1,0,1,-1.47,14.66
Aditya Birla Sl Financial Planning Fof Conservative Plan(G),Vinod Narayan Bhat,Fof Dom,19.1,1.06,Open Ended,09-05-2011,Crisil Short Term Debt Hybrid 75+25 Index,0.19,-2.21,2.39,11.72,13.8,10.51,11.22,8.85,,,, ,4.69,1.27,1.85,1.03,6.08,14.45,10.58,0.09,Small,11.06,Medium,1.73,FALSE,1.56,0,0,0,0,1,0.12,10.19
Aditya Birla Sl Financial Planning Fof Moderate Plan(G),Vinod Narayan Bhat,Fof Dom,36.3,1.18,Open Ended,09-05-2011,Crisil Hybrid 50+50 Moderate Index,-0.1,-3.85,1.72,14.29,17.23,12.6,14.02,10.51,,,, ,6.15,1.15,1.66,1.43,9.08,14.45,12.85,0.08,Small,12.11,Medium,1.39,FALSE,1.4,0,0,0,0,1,-0.74,12.38
Aditya Birla Sl Flexi Cap Fund(G),Harish Krishnan,Eq Flex,22440.2,1.68,Open Ended,27-08-1998,Nifty 500 Tri,-0.79,-7.15,1.95,18.66,22.91,14.53,17.63,13.92,69.01,16.84,12.37,Financials,9.83,1.05,1.59,0.92,13.73,27.16,16.18,0.09,Mega,11.11,Medium,1.06,TRUE,1.32,0,1,1,0,1,-2,15.36
Aditya Birla Sl Floating Rate Fund(G),Kaustubh Gupta,Dt Fl,13287.1,0.44,Open Ended,25-03-2009,Nifty Low Duration Debt Index,0.62,1.85,3.85,7.9,7.68,6.72,6.46,7.37,,,, ,3.6,10.34,19.98,0.07,0.37,16.57,7.11,0.06,Mega,17.95,Low,18.16,TRUE,15.16,0,0,0,0,1,2.11,6.85
Aditya Birla Sl Focused Fund(G),Kunal Sangoi,Eq Lc,7706.3,1.82,Open Ended,24-10-2005,Nifty 500 Tri,-1.05,-7.02,1.6,19.31,21.7,14.34,16.83,12.38,78.14,11.98,2.11,Financials,9.9,1.08,1.66,0.94,13.58,19.99,15.72,0.09,Mega,10.61,Medium,1.06,TRUE,1.37,0,1,1,0,1,-2.16,14.52
Aditya Birla Sl Frontline Equity Fund(G),Mahesh Patil,Eq Lc,29323.3,1.65,Open Ended,30-08-2002,Nifty 100 Tri,-1.27,-7.69,-0.12,16,20.12,14.5,16.79,12.3,83.74,4.63,8.17,Financials,7.13,0.87,1.31,0.95,13.68,23.15,14.9,0.1,Mega,9.7,Medium,1.06,TRUE,1.09,0,1,1,0,1,-3.03,14.53
Aditya Birla Sl Ftp Ti 1837D Reg(G),Mohit Sharma,Dt Fmp,304.9,,Closed Ended,29-06-2021,Crisil Medium To Long Term Debt Index,0.57,1.59,3.89,8.02,7.57,5.83,,,,,, ,3.4,6.07,14.84,0.16,0.64,4.3,6.92,,Mid,,Low,9.11,TRUE,10.46,0,0,0,1,0,2.02,5.83
Aditya Birla Sl Ftp Tj 1838D Reg(G),Mohit Sharma,Dt Fmp,25.1,,Closed Ended,16-07-2021,Crisil Medium To Long Term Debt Index,0.55,1.56,3.85,8.08,7.6,5.88,,,,,, ,3.4,6.1,14.1,0.18,0.64,4.25,6.98,,Small,,Low,9.19,TRUE,10.1,0,0,0,1,0,1.99,5.88
Aditya Birla Sl Ftp Tq 1879D Reg(G),Mohit Sharma,Dt Fmp,211.8,,Closed Ended,24-03-2022,Crisil Medium To Long Term Debt Index,0.5,1.51,3.99,8.06,7.78,,,,,,, ,3.02,5.66,13.27,0.29,0.69,3.57,8.06,,Mid,,Low,,TRUE,9.46,0,0,0,1,0,2,
Aditya Birla Sl Ftp Ub 1224D Reg(G),Mohit Sharma,Dt Fmp,24.5,,Closed Ended,16-12-2022,Crisil Medium Duration Debt Index,0.59,1.55,3.73,7.48,7.37,,,,,,, ,2.8,5.97,13.55,0.2,0.57,2.84,7.48,,Small,,Low,,TRUE,9.76,0,0,0,1,0,1.96,
Aditya Birla Sl Ftp Uj 1110D Reg(G),Mohit Sharma,Dt Fmp,73.3,,Closed Ended,27-03-2023,Crisil Medium Duration Debt Index,0.57,1.53,3.76,7.46,,,,,,,, ,2.87,5.9,12.9,0.17,0.57,2.56,7.46,,Small,,Low,,TRUE,9.4,0,0,0,1,0,1.95,
Aditya Birla Sl G Sec Fund(G),Bhupesh Bameta,Dt Gilt,2045,1.14,Open Ended,11-10-1999,Nifty All Duration G Sec Index,0.22,0.03,3.63,9.03,7.96,5.85,6.51,7.73,,,, ,0.66,1.84,3.21,1.36,2.55,26.03,7.28,0.13,Mega,7.92,Low,2.29,FALSE,2.52,0,0,0,0,1,1.29,6.7
Aditya Birla Sl Global Emerging Opp Fund(G),Dhaval Joshi,Fof Ovr,248.2,1.16,Open Ended,17-09-2008,S&P Global 1200,-1.08,2.34,3.6,19.6,-2.14,4.68,12.29,7.51,,,, ,15.2,1.1,1.78,0.5,15.01,17.09,11.02,0.06,Mid,16.9,High,0.31,TRUE,1.44,0,1,0,0,1,1.62,8.16
Aditya Birla Sl Global Excellence Equity Fof(G),Dhaval Joshi,Fof Ovr,201.4,1.28,Open Ended,31-12-2007,Msci World,-0.93,-0.19,1.7,19.66,2.85,7.99,8.76,6.39,,,, ,15.3,1.1,1.8,0.48,14.91,17.81,10.7,0.07,Mid,15.36,Medium,0.54,TRUE,1.45,0,1,0,0,1,0.19,7.71
Aditya Birla Sl Gold Etf,Sachin Wankhede,Gold Etf,946.5,0.54,Open Ended,13-05-2011,Gold India,-0.17,1.3,6.3,19.85,16.77,15.79,13.5,9.93,,,, ,15.12,1.22,1.85,0.09,12.62,14.44,14.77,0.03,Large,36.76,Medium,1.25,TRUE,1.54,0,1,1,0,1,2.48,13.07
Aditya Birla Sl Gold Fund(G),Priya Sridhar,Gold Mf,434.7,0.52,Open Ended,20-03-2012,Gold India,-0.66,0.74,6.25,18.87,16.41,15.05,12.71,9.36,,,, ,13.78,1.03,1.71,0.23,14.05,13.58,14,0.03,Mid,36.29,Medium,1.07,TRUE,1.37,0,1,1,0,1,2.11,12.37
Aditya Birla Sl Income Fund(G),Bhupesh Bameta,Dt M&Ld,2185.1,1.16,Open Ended,21-10-1995,Crisil Medium To Long Term Debt Index,0.46,0.75,3.96,8.39,7.45,5.72,6.69,6.97,,,, ,1.23,2.3,4.06,0.97,1.8,30.01,6.94,0.14,Mega,7.23,Low,3.18,TRUE,3.18,0,0,0,0,1,1.72,6.46
Aditya Birla Sl India Gennext Fund(G),Chanchal Khandelwal,Eq Cons,5891.5,1.85,Open Ended,05-08-2005,Nifty India Consumption Tri,-0.4,-9.18,2.08,17.92,22.44,16.41,18.44,15.32,66.78,15.93,16.68,Fmcg,9.85,1.14,1.91,0.72,11.88,20.21,17.02,0.1,Mega,9.69,Medium,1.38,TRUE,1.52,0,1,1,0,1,-2.5,16.72
Aditya Birla Sl Infrastructure Fund(G),Mahesh Patil,Eq Infra,1187.6,2.25,Open Ended,17-03-2006,Nifty Infrastructure Tri,-1.13,-7.17,-3.88,24.07,33.59,25.39,25.62,13.73,39.59,19.43,36.52,Capital Goods,14.67,1.06,1.48,1.07,18.95,19.6,22.2,0.09,Large,10.7,High,1.34,FALSE,1.27,0,1,1,0,1,-4.06,21.58
Aditya Birla Sl Intl. Equity Fund(G),Dhaval Joshi,Eq Intl,187.7,2.54,Open Ended,31-10-2007,S&P Global 1200,-2.59,-3.37,7.13,7.24,7.91,4.46,7.97,7.82,,,, ,2.92,0.37,0.61,0.12,9.45,17.97,6.87,0.35,Mid,2.85,Medium,0.47,TRUE,0.49,0,0,0,0,0,0.39,6.75
Aditya Birla Sl Inv Inc Qs I Reg(G),Mohit Sharma,Dt Fmp,28.3,,Interval,30-08-2007,Crisil Liquid Debt Index,0.62,1.75,3.49,7.36,7.27,6.77,5.46,6.16,,,, ,3.25,11.11,23.54,0.01,0.3,18.14,6.44,,Small,,Low,22.57,TRUE,17.32,0,0,0,0,0,1.95,6.13
Aditya Birla Sl Liquid Fund(G),Kaustubh Gupta,Dt Liq,39882.7,0.34,Open Ended,30-03-2004,Nifty Liquid Fund Index,0.59,1.74,3.54,7.35,7.19,6.41,5.34,6.35,,,, ,0.76,9.85,5.44,,0.08,21.56,6.36,0.05,Mega,21.62,Low,80.12,FALSE,7.64,0,0,0,0,1,1.96,6.03
Aditya Birla Sl Long Duration Fund Reg(G),Harshil Suvarnkar,Dt Ld,154.9,1.09,Open Ended,08-08-2022,Nifty Long Duration Debt Index,0.4,0.23,4.27,10.57,8.78,,,,,,, ,1.79,2.33,4.19,1.44,2.6,3.19,10.57,0.1,Mid,9.7,Low,,FALSE,3.26,0,0,0,1,1,1.63,
Aditya Birla Sl Low Duration Fund(G),Kaustubh Gupta,Dt Lowd,11710.6,1.23,Open Ended,14-05-1998,Nifty Low Duration Debt Index,0.58,1.67,3.46,7.09,6.9,6.03,5.84,6.74,,,, ,2.8,9.02,18.57,0.08,0.33,27.44,6.43,0.17,Mega,5.76,Low,18.27,TRUE,13.8,0,0,0,0,1,1.9,6.2
Aditya Birla Sl Medium Term Plan Reg(G),Sunaina Da Cunha,Dt Md,2004,1.58,Open Ended,25-03-2009,Crisil Medium Duration Debt Index,0.51,3,5.99,10.5,8.66,13.79,11.26,8.38,,,, ,4.36,2.84,9.5,0.62,2.19,16.57,10.98,0.15,Mega,6.65,Low,6.3,TRUE,6.17,0,0,0,0,1,3.17,11.14
